Cycle,Compression Temperature (K),Compression Pressure (kPa),Combustion Temperature (K),Combustion Pressure (kPa),Adjusted Hydrogen Injection,Energy Output (J),Energy Output (MW),Methane Produced (mol),Hydrogen Produced (mol)
1,119.4321511660492,2545.1689267270817,-5010.686003379941,-31509.648340928798,43.69314903478531,-4516401.374644435,-4.516401374644435,1.0,-13.33226906022479
2,119.4321511660492,2545.1689267270817,-4318.090642419404,-22296.803395320232,30.163584116212597,-3207821.8557200823,-3.2078218557200824,1.0,-9.469385143187523
3,119.4321511660492,2545.1689267270817,-4335.228337659127,-22484.820639108162,30.439697685979386,-3234527.5601879265,-3.2345275601879266,1.0,-9.548219508841346
4,119.4321511660492,2545.1689267270817,-4352.214987046425,-22672.83788289609,30.715811255746175,-3261233.2646557703,-3.2612332646557705,1.0,-9.627053874495168
5,119.4321511660492,2545.1689267270817,-4369.05257872053,-22860.85512668402,30.99192482551297,-3287938.969123615,-3.287938969123615,1.0,-9.705888240148992
6,119.4321511660492,2545.1689267270817,-4385.743066081277,-23048.872370471956,31.26803839527976,-3314644.6735914587,-3.3146446735914585,1.0,-9.784722605802813
7,119.4321511660492,2545.1689267270817,-4402.288368544575,-23236.889614259882,31.54415196504655,-3341350.3780593025,-3.3413503780593024,1.0,-9.863556971456635
8,119.4321511660492,2545.1689267270817,-4418.690372278243,-23424.906858047805,31.820265534813338,-3368056.0825271457,-3.3680560825271457,1.0,-9.942391337110452
9,119.4321511660492,2545.1689267270817,-4434.950930918807,-23612.92410183573,32.09637910458012,-3394761.7869949895,-3.3947617869949895,1.0,-10.021225702764275
10,119.4321511660492,2545.1689267270817,-4451.071866269839,-23800.941345623665,32.372492674346915,-3421467.491462834,-3.4214674914628342,1.0,-10.100060068418099
